id,file_name,mos,light,color,noise,exposure,nature,content_recovery,description
i_1_J,i_1_J.png,4.87143,3.875,3.1875,1.875,3.375,3.0,3.1875,"The image has bright brightness with no areas in shadow, low color contrast with pale colors and low contrast, severe noise especially on the left side and local exposure conditions, presenting a  unnatural appearance."
i_2_A,i_2_A.png,3.41333,2.6875,2.75,1.75,2.875,1.875,2.5625,"The image has moderate brightness, medium color contrast, slight noise and local exposure around the window, presenting a  natural appearance."
i_2_B,i_2_B.png,5.22857,2.8125,3.3125,3.5,3.4375,3.5625,3.125,"The image has moderate brightness, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_2_C,i_2_C.png,3.66667,2.0625,2.75,3.06667,3.25,3.0,2.6875,"The image has moderate brightness, high color contrast,extremely high but unrealistic color saturation, severe noise and local exposure near the window, and pervasive noise throughout, presenting a  unnatural appearance."
i_2_D,i_2_D.png,2.89333,2.25,2.375,2.3125,3.0625,2.1875,2.1875,"The image has dim brightness with small shadowed areas, medium color contrast with rich but somewhat dark colors, obvious noise and local exposure around the window, presenting a  unnatural appearance."
i_2_E,i_2_E.png,4.07333,3.0625,3.3125,1.75,3.375,2.25,2.875,"The image has moderate brightness, high color contrast with unrealistic color saturation, severe noise making it look very blurry and well-controlled exposure conditions, presenting a  natural appearance."
i_2_F,i_2_F.png,1.79333,1.0,1.625,2.6875,2.8125,2.125,1.5625,"The image has dim brightness with the building's interior remaining in shadow and obscuring details and colors, low color contrast, slight noise and local exposure around the window, presenting a  natural appearance."
i_2_G,i_2_G.png,6.58125,3.9375,3.6875,3.5,3.5625,3.8125,3.9375,"The image has bright brightness with no shadowed areas, medium color contrast, slight noise and well-controlled exposure at the window, presenting a  natural appearance."
i_2_H,i_2_H.png,3.34667,2.3125,2.5,1.9375,3.3125,2.125,2.375,"The image has moderate brightness, medium color contrast, severe noise causing slight blurriness and well-controlled exposure conditions, presenting a  unnatural appearance."
i_2_I,i_2_I.png,4.025,3.0,3.1875,2.0625,3.3125,2.625,2.8125,"The image has bright brightness, high color contrast with realistic colors, severe noise especially on the floor and walls and well-controlled exposure conditions, presenting a  unnatural appearance."
i_2_J,i_2_J.png,4.29375,2.5,3.0625,2.5625,3.4375,3.0,2.75,"The image has moderate brightness, medium color contrast, obvious noise especially on the ground and in the upper part and well-controlled exposure conditions, presenting a  natural appearance."
i_3_A,i_3_A.png,4.32,3.125,3.0,2.0,3.375,2.3125,3.0,"The image has bright brightness, high color contrast with harmonious and realistic colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_3_B,i_3_B.png,8.06667,4.0625,3.9375,4.125,4.0625,4.25,4.1875,"The image has bright brightness, high color contrast with comfortable and realistic colors, slight noise and well-controlled exposure conditions, well-handled details on the pot and tiles, presenting a  natural appearance."
i_3_C,i_3_C.png,3.40667,1.5625,2.3125,2.8125,3.5,2.1875,2.3125,"The image has dim brightness,leaving parts of the stove and pot in shadow and obscuring details, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_3_D,i_3_D.png,5.05333,2.4375,3.0,2.5625,3.375,3.0625,3.125,"The image has moderate brightness, medium color contrast, obvious noise around the tiles and pot affecting the details and well-controlled exposure conditions, presenting a  unnatural appearance."
i_3_E,i_3_E.png,6.46875,4.1875,3.75,3.1875,3.8125,3.5625,3.8125,"The image has bright brightness,causing the colors to appear somewhat washed out, medium color contrast, obvious noise on the stove and pot, yet it overall looks clean and realistic and well-controlled exposure conditions, presenting a  natural appearance."
i_3_F,i_3_F.png,6.5125,3.625,3.75,3.5625,3.875,3.8125,3.75,"The image has moderate brightness, medium color contrast with a slightly yellowish tone, severe noise especially making tiles and pots appear dirty, and well-controlled exposure conditions, presenting a  unnatural appearance."
i_3_G,i_3_G.png,5.3,2.5625,3.25,2.625,3.5625,3.125,3.3125,"The image has moderate brightness, high color contrast, obvious noise mainly concentrated on the stove and tiles, resulting in slightly blurry details and well-controlled exposure conditions, presenting a  natural appearance."
i_3_H,i_3_H.png,6.21333,3.75,3.4375,2.6,3.6875,3.75,3.875,"The image has bright brightness, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_3_I,i_3_I.png,6.7625,4.1875,3.625,3.75,3.625,3.6875,3.875,"The image has bright brightness, medium color contrast, slight noise and appears clean and natural and well-controlled exposure conditions, presenting a  natural appearance."
i_3_J,i_3_J.png,5.14667,3.125,3.3125,2.6875,3.5625,3.125,3.25,"The image has moderate brightness, medium color contrast, obvious noise around the tiles and pot and well-controlled exposure conditions, presenting a  unnatural appearance."
i_4_A,i_4_A.png,5.95625,3.9375,3.625,3.4375,3.4375,3.5625,3.5,"The image has bright brightness with all indoor items visible, medium color contrast, slight noise on the ceiling and local exposure conditions, presenting a  natural appearance."
i_4_B,i_4_B.png,3.73125,2.1875,3.0625,2.5,3.125,2.8125,2.5625,"The image has dim brightness,with the four bowling balls under the stickers still in shadow, revealing only the presence of three or four balls, with no visible light source, creating a dark atmosphere, high color contrast, obvious noise and well-controlled exposure conditions, presenting a  natural appearance."
i_4_C,i_4_C.png,6.50625,3.25,3.8125,3.625,3.6875,3.75,3.8125,"The image has moderate brightness, high color contrast with high color saturation, slight noise, presenting a clean overall appearance resembling a real photograph taken in well-lit indoor conditions and well-controlled exposure conditions, presenting a  natural appearance."
i_4_D,i_4_D.png,4.06667,2.75,2.8125,1.8125,3.125,2.1875,2.8125,"The image has moderate brightness, high color contrast,particularly vibrant colors on the four posters of hot air balloons, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_4_E,i_4_E.png,2.89333,1.25,2.375,2.625,3.4375,2.375,1.875,"The image has dim brightness, high color contrast,vibrant colors and appears pleasant, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_4_F,i_4_F.png,5.55625,3.625,3.3125,2.5,3.25,3.0,3.25,"The image has bright brightness, medium color contrast, obvious noise on the floor and walls and local exposure on four stickers, presenting a  unnatural appearance."
i_4_G,i_4_G.png,6.025,3.3125,3.625,3.375,3.4375,3.375,3.5,"The image has moderate brightness, high color contrast,high color saturation but lacking harmony, obvious noise especially noticeable on the right side walls and ceiling and well-controlled exposure conditions, presenting a  unnatural appearance."
i_4_H,i_4_H.png,4.1,2.1875,2.75,2.125,3.4375,2.4375,2.625,"The image has dim brightness,resulting in somewhat dark colors and slightly low brightness, with some areas of the bowling balls in shadow, high color contrast, obvious noise giving the image a slightly dirty and well-controlled exposure conditions, presenting a  natural appearance."
i_4_I,i_4_I.png,4.03125,1.75,2.625,2.625,3.5625,2.4375,2.5625,"The image has dim brightness,with most areas in shadow, making the bowling pins hard to see, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_4_J,i_4_J.png,5.60667,3.8125,3.75,2.375,3.375,3.125,3.25,"The image has bright brightness, medium color contrast, obvious noise and local exposure particularly on four stickers where the light is too intense, obscuring the details and colors of some hot air balloons,, presenting a  unnatural appearance."
i_6_A,i_6_A.png,1.02,1.0,1.5,2.3125,3.25,1.9375,1.2,"The image has dim brightness with no light, creating a somewhat gloomy atmosphere,making it difficult to discern details of objects or detect any noise, low color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_6_B,i_6_B.png,4.425,3.5625,3.0625,2.125,3.4375,3.0,3.0625,"The image has moderate brightness , medium color contrast, severe noise around the image and well-controlled exposure conditions, presenting a  unnatural appearance."
i_6_C,i_6_C.png,7.16,3.75,3.6875,3.8125,3.875,4.0,4.0625,"The image has bright brightness with all indoor items clearly visible, high color contrast with harmonious colors, well-detailed potted plants,, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_6_D,i_6_D.png,2.66875,2.25,2.75,1.625,3.3125,2.0,2.25,"The image has bright brightness with no shadowed areas, medium color contrast, obvious noise on the table, chairs, and walls and well-controlled exposure conditions, presenting a  unnatural appearance."
i_6_E,i_6_E.png,5.85333,3.8125,3.5625,2.8125,3.625,3.25,3.5,"The image has bright brightness, high color contrast with harmonious colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_6_F,i_6_F.png,1.64,1.6875,2.0625,2.0625,3.25,2.1875,1.875,"The image has dim brightness with the area under the table and the innermost chair still in shadow, insufficient lighting, giving the environment a somewhat dim appearance, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_6_G,i_6_G.png,2.1375,1.3125,2.125,2.125,3.375,2.25,1.9375,"The image has dim brightness with no light,causing some details to be unclear, medium color contrast, obvious noise especially on the table and walls and well-controlled exposure conditions, presenting a  natural appearance."
i_6_H,i_6_H.png,3.01333,1.875,2.3125,2.0,3.4375,2.3125,2.1875,"The image has dim brightness with no visible light, creating a dark environment where the innermost chair is unclear,, medium color contrast, obvious noise particularly noticeable on the table, chairs, and whiteboard and well-controlled exposure conditions, presenting a  unnatural appearance."
i_6_I,i_6_I.png,3.60625,3.625,3.0,1.625,3.3125,2.4375,2.75,"The image has bright brightness, medium color contrast, severe noise making the right half look dirty and blurry and well-controlled exposure conditions, presenting a  unnatural appearance."
i_6_J,i_6_J.png,3.8125,3.4375,3.0,1.5,3.625,2.4375,2.75,"The image has moderate brightness, medium color contrast,but somewhat washed-out colors, severe noise especially noticeable on the right side, giving the image a dirty and blurry appearance and well-controlled exposure conditions, presenting a  unnatural appearance."
i_7_A,i_7_A.png,6.0125,3.4375,3.375,3.375,3.625,3.5625,3.4375,"The image has moderate brightness, medium color contrast, obvious noise especially noticeable on the walls and starting block and well-controlled exposure conditions, presenting a  unnatural appearance."
i_7_B,i_7_B.png,4.45,2.0625,2.875,2.3125,3.5625,2.875,2.875,"The image has dim brightness and the insufficient lighting, high color contrast with highly saturated colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_7_C,i_7_C.png,7.59333,4.25,3.625,3.875,3.625,3.875,4.1875,"The image has bright brightness, high color contrast with harmonious colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_7_D,i_7_D.png,6.5,3.25,3.4375,3.625,3.6875,3.625,3.8125,"The image has bright brightness, medium color contrast,although the color of the timer numbers on the wall appears somewhat washed out, with the overall image being smooth and clean, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_7_E,i_7_E.png,2.225,1.25,2.125,2.5,3.25,2.25,1.6875,"The image has dim brightness with a dark environment where most areas remain in shadow, low color contrast with very muted colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_7_F,i_7_F.png,3.15,2.25,2.5625,2.25,3.25,2.5,2.1875,"The image has moderate brightness, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_7_G,i_7_G.png,4.88,3.375,3.5625,2.3125,3.625,3.125,3.3125,"The image has bright brightness, high color contrast, obvious noise mainly concentrated on the walls and starting block and well-controlled exposure conditions, presenting a  natural appearance."
i_7_H,i_7_H.png,5.02667,3.3125,3.0,2.625,3.375,3.0,3.0625,"The image has moderate brightness, low color contrast with colors that are not highly saturated and somewhat muted, overall showing a slight washout and slight blurriness,, slight noise at the starting block and local exposure conditions, presenting a  unnatural appearance."
i_7_I,i_7_I.png,4.10667,2.25,2.8125,2.25,3.375,2.5,2.8125,"The image has moderate brightness, medium color contrast, obvious noise, giving it a somewhat aged appearance with noticeable graininess and well-controlled exposure conditions, presenting a  natural appearance."
i_7_J,i_7_J.png,3.575,3.0,2.875,1.6875,3.4375,2.0,2.6875,"The image has bright brightness,making everything indoors clearly visible, high color contrast,giving the image a clean and particularly natural look, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_8_A,i_8_A.png,2.875,1.5,2.3125,3.0,3.1875,2.375,2.1875,"The image has dim brightness with a dark environment, some areas in shadow,, low color contrast, slight noise and local exposure on the wall lights, presenting a  unnatural appearance."
i_8_B,i_8_B.png,4.49333,2.9375,3.3125,1.8125,3.375,2.8125,2.9375,"The image has moderate brightness, medium color contrast, severe noise especially noticeable on the floor, table, and walls and local exposure conditions, presenting a  unnatural appearance."
i_8_C,i_8_C.png,7.81333,3.625,4.0,4.0625,4.0,4.125,4.0,"The image has bright brightness, high color contrast with comfortable colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_8_D,i_8_D.png,3.54375,1.6875,2.625,3.1875,3.75,2.6875,2.375,"The image has dim brightness with insufficient lighting, creating a dim environment where the area near the door remains in shadow and appears blurry, medium color contrast, obvious noise and well-controlled exposure conditions, presenting a  unnatural appearance."
i_8_E,i_8_E.png,3.36667,3.5625,3.125,1.625,3.1875,1.86667,2.5625,"The image has bright brightness with clear visibility indoors, high color contrast with vibrant and harmonious colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_8_F,i_8_F.png,5.35625,3.375,3.3125,2.5625,3.6875,3.25,3.375,"The image has moderate brightness, medium color contrast, obvious noise, the door is somewhat blurry and local exposure conditions, presenting a  natural appearance."
i_8_G,i_8_G.png,6.35,3.25,3.5625,3.3125,3.75,3.625,3.75,"The image has bright brightness with clear visibility indoors, medium color contrast, severe noise and well-controlled exposure conditions, presenting a  unnatural appearance."
i_8_H,i_8_H.png,4.15625,2.8125,3.1875,2.0,3.4375,2.5625,2.8125,"The image has moderate brightness, medium color contrast, severe noise on the door, walls, and chairs, along with unrealistic lighting on the walls and local exposure conditions, presenting a  natural appearance."
i_8_I,i_8_I.png,6.15333,3.9375,3.625,2.375,3.625,3.375,3.6875,"The image has bright brightness, high color contrast with harmonious colors, obvious noise particularly noticeable on the walls, chairs, and door and well-controlled exposure conditions, presenting a  natural appearance."
i_8_J,i_8_J.png,7.3875,4.1875,4.0,3.8125,3.875,4.0,4.0,"The image has bright brightness, high color contrast with vibrant colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_9_A,i_9_A.png,4.50667,3.75,3.375,2.125,3.4375,2.73333,3.0625,"The image has bright brightness,clear visibility of indoor objects, high color contrast, severe noise especially noticeable on the floor and walls, particularly under the table and well-controlled exposure conditions, presenting a  natural appearance."
i_9_B,i_9_B.png,3.39375,3.375,3.1875,1.625,3.375,2.3125,2.875,"The image has moderate brightness, medium color contrast, severe noise notably on the walls, sofa, and floor on both sides and local exposure conditions, presenting a  unnatural appearance."
i_9_C,i_9_C.png,2.0875,1.8125,2.375,1.8125,3.1875,2.1875,2.0,"The image has dim brightness with some areas of the walls still in shadow, medium color contrast, severe noise on the floor, walls, and sofa in the form of grainy interference dots and local exposure conditions, presenting a  unnatural appearance."
i_9_D,i_9_D.png,2.625,2.5,2.8125,1.5625,3.1875,2.125,2.25,"The image has bright brightness with no shadowed areas indoors, medium color contrast, obvious noise in the form of grainy interference dots and local exposure conditions, presenting a  unnatural appearance."
i_9_E,i_9_E.png,3.44375,4.0,3.0625,1.625,3.1875,2.25,2.75,"The image has moderate brightness, medium color contrast, obvious noise,unclear details and local exposure conditions, presenting a  unnatural appearance."
i_9_F,i_9_F.png,2.19375,2.25,2.25,1.5625,3.5,1.875,2.0,"The image has moderate brightness, medium color contrast, severe noise, notably large patches of purple and white noise on the sofa and floor and well-controlled exposure conditions, presenting a  unnatural appearance."
i_9_G,i_9_G.png,2.53125,2.0,2.375,1.8125,3.25,2.25,2.25,"The image has dim brightness with a dimly lit environment and some areas still in shadow, medium color contrast, severe noise and local exposure conditions, presenting a  unnatural appearance."
i_9_H,i_9_H.png,3.0625,3.75,3.125,1.375,3.3125,1.9375,2.625,"The image has bright brightness with ample light throughout, medium color contrast, severe noise making the sofa and floor appear blurry and uncomfortable and local exposure conditions, presenting a  unnatural appearance."
i_9_I,i_9_I.png,1.425,1.0,1.6875,2.6875,3.4375,1.9375,1.4375,"The image has dim brightness with most areas in darkness, low color contrast, obvious noise,details are also difficult to discern and well-controlled exposure conditions, presenting a  unnatural appearance."
i_9_J,i_9_J.png,2.75625,2.125,2.5,1.8125,3.25,2.1875,2.3125,"The image has dim brightness with a dim environment, medium color contrast, obvious noise on the floor, sofa, and walls and local exposure conditions, presenting a  unnatural appearance."
i_10_A,i_10_A.png,5.19333,2.875,3.06667,2.3125,3.4375,3.25,3.25,"The image has bright brightness, medium color contrast with harmonious and realistic colors, obvious noise on the glass, causing the scene inside the glass to appear blurry and well-controlled exposure near the ceiling lights, presenting a  unnatural appearance."
i_10_B,i_10_B.png,2.65333,1.3125,2.0625,2.75,3.5625,2.5,2.25,"The image has dim brightness,it is somewhat dark overall with areas in shadow, medium color contrast with realistic colors, slight noise on the glass and well-controlled exposure conditions, presenting a  natural appearance."
i_10_C,i_10_C.png,4.5,2.26667,3.125,3.3125,3.4375,3.25,3.1875,"The image has moderate brightness, medium color contrast with rich colors, severe noise  making many details unclear and well-controlled exposure conditions, presenting a  unnatural appearance."
i_10_D,i_10_D.png,2.96875,3.3125,2.8125,1.5,3.0,2.25,2.5,"The image has dim brightness, low color contrast with realistic colors but insufficient saturation, slight noise and local exposure on the lights, presenting a  natural appearance."
i_10_E,i_10_E.png,3.5625,2.6875,2.8125,1.8125,3.3125,2.5625,2.875,"The image has moderate brightness, medium color contrast with resulting in blurred details, obvious noise, resulting in blurred details and well-controlled exposure conditions, presenting a  unnatural appearance."
i_10_F,i_10_F.png,4.4375,3.375,2.875,2.625,3.375,2.9375,2.9375,"The image has moderate brightness, medium color contrast with pale colors, slight noise, primarily concentrated on the glass and ceiling and well-controlled exposure conditions, presenting a  unnatural appearance."
i_10_G,i_10_G.png,4.25714,3.0,3.0625,1.75,3.5,2.5625,3.0,"The image has moderate brightness, high color contrast, obvious noise on the glass, obscuring the scene inside and causing loss of detail and local exposure near the lights, presenting a  unnatural appearance."
i_10_H,i_10_H.png,6.48667,3.25,3.625,3.5,3.8125,3.6875,3.5625,"The image has moderate brightness, high color contrast with harmonious colors, slight noise, presenting a clean and tidy appearance and well-controlled exposure, presenting a  natural appearance."
i_10_I,i_10_I.png,3.36667,2.875,2.8125,1.9375,3.2,2.625,2.8125,"The image has moderate brightness, high color contrast with realistic colors, obvious noise throughout blur some details and local exposure near the lights, presenting a  unnatural appearance."
i_10_J,i_10_J.png,5.0625,3.75,2.9375,2.625,2.8125,2.9375,3.3125,"The image has bright brightness,but the brightness is too high, low color contrast, slight noise on the glass, and it appears hazy and well-controlled exposure conditions, presenting a  unnatural appearance."
i_12_A,i_12_A.png,5.02,3.0625,3.1875,2.625,3.5,2.93333,3.0625,"The image has moderate brightness with no shadows, low color contrast, slight noise, but the background appears blurry with unclear details and well-controlled exposure conditions, presenting a  unnatural appearance."
i_12_B,i_12_B.png,5.65625,3.3125,3.25,2.5625,3.5,3.375,3.4375,"The image has moderate brightness, medium color contrast with vibrant and saturated colors, obvious noise on the left side and in the web, causing the back half and the cabinet to appear slightly blurry and well-controlled exposure conditions, presenting a  unnatural appearance."
i_12_C,i_12_C.png,3.76,1.75,2.625,2.8125,3.5625,2.6875,2.6875,"The image has dim brightness,it is relatively dark with some areas in shadow, medium color contrast, slight noise on the far left side of the image, resembling a photo taken in dim lighting conditions and well-controlled exposure conditions, presenting a  natural appearance."
i_12_D,i_12_D.png,5.25,2.75,3.1875,2.8125,3.5625,3.3125,3.1875,"The image has bright brightness with no shadows, high color contrast with highly saturated colors, obvious noise, especially on the ceiling and cabinets and local exposure conditions, presenting a  unnatural appearance."
i_12_E,i_12_E.png,4.78667,2.625,3.3125,2.3125,3.375,3.0,3.0,"The image has moderate brightness, high color contrast with with harmonious and pleasant colors, obvious noise, causing the details behind the net to be slightly blurry and well-controlled exposure conditions, presenting a  unnatural appearance."
i_12_F,i_12_F.png,5.21875,3.6875,2.9375,2.9375,2.875,2.875,3.5625,"The image has bright brightness with no shadows, low color contrast with muted colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_12_G,i_12_G.png,4.46667,3.0,3.3125,2.3125,3.375,3.0,3.1875,"The image has moderate brightness,but some details in the background are unclear, medium color contrast, obvious noise on the ceiling, ping pong table, and floor and local exposure conditions, presenting a  unnatural appearance."
i_12_H,i_12_H.png,4.1375,3.75,3.375,1.9375,3.25,2.125,3.0625,"The image has moderate brightness, low color contrast with harmonious but slightly muted colors, slight noise and well-controlled exposure conditions, presenting a  unnatural appearance."
i_12_I,i_12_I.png,3.275,1.5625,2.25,2.625,3.375,2.5625,2.125,"The image has dim brightness, medium color contrast with vibrant colors, slight noise and local exposure on the lights, presenting a  natural appearance."
i_12_J,i_12_J.png,5.9125,3.0625,3.5,3.1875,3.625,3.5,3.6875,"The image has moderate brightness, high color contrast, especially vivid colors on the ping pong table, slight noise,the image looks very clean and well-controlled exposure conditions, presenting a  natural appearance."
i_13_A,i_13_A.png,3.66875,1.75,2.8125,3.25,3.375,2.75,2.3125,"The image has dim brightness,leaving the ceiling and the middle seats of the second row in shadow with unclear details, high color contrast with highly saturated colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_13_B,i_13_B.png,3.94375,3.3125,3.1875,2.125,3.375,2.25,2.8125,"The image has bright brightness with no shadows, medium color contrast with vibrant and harmonious colors, obvious noise on the second row of seats and well-controlled exposure conditions, presenting a  unnatural appearance."
i_13_C,i_13_C.png,3.975,2.4375,3.25,2.9375,3.5,2.9375,2.625,"The image has moderate brightness,the details of the seats in the second row and the ceiling remain unclear, high color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_13_D,i_13_D.png,5.19375,3.1875,3.25,3.125,3.25,3.25,2.9375,"The image has bright brightness with no shadows, medium color contrast with harmonious and natural colors, obvious noise on the middle seats of the second row and the ceiling and well-controlled exposure conditions, presenting a  unnatural appearance."
i_13_E,i_13_E.png,6.46667,4.0,3.4375,3.1875,3.375,3.3125,3.875,"The image has bright brightness with no areas in shadow, low color contrast, obvious noise on the seats and well-controlled exposure conditions, presenting a  unnatural appearance."
i_13_F,i_13_F.png,2.90625,1.1875,2.1875,3.0625,3.375,2.3125,1.9375,"The image has dim brightness with seats and ceiling remaining in shadow, high color contrast with harmonious colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_13_G,i_13_G.png,6.12667,3.4375,3.5,3.125,3.6875,3.5,3.5625,"The image has moderate brightness, high color contrast with highly saturated colors, severe noise on the seats and ceiling and well-controlled exposure conditions, presenting a  unnatural appearance."
i_13_H,i_13_H.png,4.2875,2.375,3.0,2.6875,3.4375,2.875,2.5625,"The image has moderate brightness with the back seats in the second row still in shadow and somewhat unclear, high color contrast with high color saturation, obvious noise on the seats and well-controlled exposure conditions, presenting a  natural appearance."
i_13_I,i_13_I.png,5.32667,2.6875,3.375,2.875,3.375,3.1875,3.0625,"The image has bright brightness, medium color contrast,and the colors look particularly pleasing, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_13_J,i_13_J.png,5.75333,3.0,3.5625,3.25,3.5625,3.5,3.1875,"The image has bright brightness, high color contrast with highly saturated colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_14_A,i_14_A.png,2.6625,1.875,2.3125,1.5625,3.25,2.0,2.25,"The image has bright brightness with no areas in shadow, medium color contrast, obvious noise, especially on the walls and well-controlled exposure conditions, presenting a  natural appearance."
i_14_B,i_14_B.png,4.0875,3.1875,2.9375,1.8125,3.4375,2.6875,2.9375,"The image has moderate brightness, medium color contrast, severe noise, making it look very blurry and well-controlled exposure conditions, presenting a  unnatural appearance."
i_14_C,i_14_C.png,1.35,1.4375,1.875,2.3125,2.875,2.1875,1.6875,"The image has dim brightness, medium color contrast, obvious noise on the walls, resembling an evening environment and well-controlled exposure conditions, presenting a  natural appearance."
i_14_D,i_14_D.png,2.175,1.1875,2.0625,2.4375,3.375,2.1875,1.8125,"The image has dim brightness,leaving most areas in shadow and unclear, low color contrast with harmonious but slightly pale colors, slight noise, making it look very blurry and well-controlled exposure conditions, presenting a  natural appearance."
i_14_E,i_14_E.png,3.7,3.1875,2.75,1.5,3.1875,2.4375,2.5625,"The image has bright brightness with no areas in shadow, medium color contrast with harmonious colors, severe noise especially noticeable on the walls and local exposure conditions, presenting a  unnatural appearance."
i_14_F,i_14_F.png,2.5125,1.8125,2.4375,1.9375,3.125,2.25,2.1875,"The image has dim brightness with some areas in shadow, medium color contrast, severe noise especially on the walls, corridor, and ceiling and well-controlled exposure conditions, presenting a  unnatural appearance."
i_14_G,i_14_G.png,5.76875,2.875,3.625,3.625,3.6875,3.5,3.375,"The image has bright brightness with no areas in shadow, high color contrast with harmonious and comfortable-looking colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_14_H,i_14_H.png,5.99333,3.875,3.4375,3.375,3.4375,3.5,3.6875,"The image has bright brightness with no areas in shadow, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_14_I,i_14_I.png,3.93333,2.8125,2.9375,2.5625,3.375,2.86667,2.875,"The image has dim brightness, medium color contrast, severe noise near the lights, the normal light from the lamps is absent and well-controlled exposure conditions, presenting a  unnatural appearance."
i_14_J,i_14_J.png,0.82,1.0,1.13333,2.3125,2.8125,1.75,1.125,"The image has dim brightness, medium color contrast, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_15_A,i_15_A.png,8.19333,4.25,4.375,4.25,4.3125,4.125,4.3125,"The image has bright brightness with no shadows, high color contrast with vibrant colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_15_B,i_15_B.png,3.71875,3.5,2.9375,2.5625,1.4,2.5,2.75,"The image has moderate brightness with no shadows, low color contrast with slightly washed-out colors, obvious noise and Severe exposure at the bar area causing an unclear and glaring background, presenting a  unnatural appearance."
i_15_C,i_15_C.png,3.225,3.375,2.625,1.875,2.4375,1.75,2.3125,"The image has bright brightness with no shadows, medium color contrast with slightly muted colors, obvious noise, especially noticeable on the chairs and local exposure conditions, presenting a  unnatural appearance."
i_15_D,i_15_D.png,5.54,3.5,3.1875,2.375,3.625,3.0,3.25,"The image has moderate brightness, medium color contrast, obvious noise which makes the chairs appear blurry and well-controlled exposure conditions, presenting a  unnatural appearance."
i_15_E,i_15_E.png,5.0,3.625,3.5,3.0625,2.1875,3.125,3.1875,"The image has bright brightness with no areas in shadow, medium color contrast, obvious noise on the ceiling and each chair and local exposure on the bar counter, presenting a  unnatural appearance."
i_15_F,i_15_F.png,6.49333,3.125,3.625,3.6875,3.875,3.6875,3.5,"The image has moderate brightness,but a small portion of the two chairs on the far left is not fully detailed, high color contrast with vibrant and harmonious colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_15_G,i_15_G.png,7.025,3.5625,3.9375,3.9375,4.1875,3.875,3.9375,"The image has moderate brightness, high color contrast with harmonious colors, slight noise and well-controlled exposure conditions, presenting a  natural appearance."
i_15_H,i_15_H.png,5.77333,3.875,3.375,3.125,2.6875,3.0625,3.375,"The image has moderate brightness, low color contrast with vibrant but slightly yellowish tones, severe noise, causing a blurry appearance and well-controlled exposure conditions, presenting a  unnatural appearance."
i_15_I,i_15_I.png,6.39333,4.1875,3.5,3.3125,2.0625,3.25,3.6875,"The image has bright brightness, low color contrast with somewhat washed-out colors, obvious noise and local exposure on the bar and some noise on the chairs, presenting a  unnatural appearance."
i_15_J,i_15_J.png,2.98667,2.9375,2.5625,2.875,1.3125,2.0625,2.625,"The image has dim brightness with a small area still in shadow, low color contrast with a somewhat yellowish floor, slight noise and Severe exposure at the bar making it glaring, presenting a  unnatural appearance."
i_16_A,i_16_A.png,1.4,3.125,2.0,1.5,2.125,1.125,1.625,"The image has moderate brightness, low color contrast, slight noise on the floor and in the bottom left corner of the image and well-controlled exposure conditions, presenting a  unnatural appearance."
i_16_B,i_16_B.png,2.9375,3.1875,2.4375,2.3125,1.5625,2.125,2.375,"The image has bright brightness with no shadows, low color contrast, obvious noise, resulting in a blurry and Severe exposure on the windows and ceiling causing a white haze over the image, presenting a  unnatural appearance."
i_16_C,i_16_C.png,6.4,3.5625,3.2,3.4375,3.3125,3.3125,3.3125,"The image has bright brightness with no shadows, medium color contrast, obvious noise on the floor and the three foreground objects and local exposure on the painting on the ceiling, presenting a  unnatural appearance."
